Nearest Neighbor,400,40,20275,0.007227
Farthest Insertion,400,40,49060,1.443100
2-opt,400,40,19647,8.446095
Simulated Annealing,400,40,18284,92.864577
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,50,782394,0.000000
Nearest Neighbor,400,50,22729,0.007036
Farthest Insertion,400,50,55392,1.484136
2-opt,400,50,22729,4.251199
Simulated Annealing,400,50,21460,93.182567
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,60,813312,0.000000
Nearest Neighbor,400,60,22185,0.007049
Farthest Insertion,400,60,55302,1.442477
2-opt,400,60,22185,4.245111
Simulated Annealing,400,60,20062,92.537520
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,70,827299,0.000000
Nearest Neighbor,400,70,19698,0.007555
Farthest Insertion,400,70,53294,1.430734
2-opt,400,70,19698,4.105981
Simulated Annealing,400,70,18952,93.262122
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,80,794234,0.000000
Nearest Neighbor,400,80,26890,0.007013
Farthest Insertion,400,80,57111,1.401962
2-opt,400,80,19290,13.087559
Simulated Annealing,400,80,23215,92.908224
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,90,833344,0.000000
Nearest Neighbor,400,90,23093,0.009120
Farthest Insertion,400,90,57097,1.465316
2-opt,400,90,23093,4.203932
Simulated Annealing,400,90,21831,92.819985
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,10,1239150,0.000965
Nearest Neighbor,500,10,34773,0.010996
Farthest Insertion,500,10,73424,2.864333
2-opt,500,10,34773,8.001958
Simulated Annealing,500,10,29827,115.161411
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,20,1266003,0.000000
Nearest Neighbor,500,20,29114,0.011242
Farthest Insertion,500,20,72671,2.726897
2-opt,500,20,26187,32.479265
Simulated Annealing,500,20,28444,114.490144
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,30,1246355,0.000000
Nearest Neighbor,500,30,31726,0.012141
Farthest Insertion,500,30,72145,2.812662
2-opt,500,30,31726,7.973186
Simulated Annealing,500,30,29468,115.574375
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,40,1308373,0.000000
Nearest Neighbor,500,40,42808,0.011036
Farthest Insertion,500,40,78265,2.836034
2-opt,500,40,33170,25.303051
Simulated Annealing,500,40,33567,117.191220
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,50,1248556,0.000000
Nearest Neighbor,500,50,38010,0.010718
Farthest Insertion,500,50,73409,2.770671
2-opt,500,50,36213,16.298699
Simulated Annealing,500,50,34513,115.859299
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,60,1224041,0.000000
Nearest Neighbor,500,60,35955,0.012951
Farthest Insertion,500,60,75856,2.829241
2-opt,500,60,31349,24.924554
Simulated Annealing,500,60,29982,116.122984
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,70,1273617,0.000000
Nearest Neighbor,500,70,31662,0.011013
Farthest Insertion,500,70,75440,3.041538
2-opt,500,70,31662,8.096081
Simulated Annealing,500,70,28617,115.407188
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,80,1209239,0.000000
Nearest Neighbor,500,80,35819,0.013704
Farthest Insertion,500,80,77040,3.032868
2-opt,500,80,28313,40.942513
Simulated Annealing,500,80,30531,116.764126
Metoda,n,seed,Koszt,Czas
Algorytm 123,500,90,1249284,0.000000
Nearest Neighbor,500,90,34847,0.010993
Farthest Insertion,500,90,80239,3.023550
2-opt,500,90,32038,25.002145
Simulated Annealing,500,90,28860,116.901670
